block_id,publisher,work,volume,title_as_entered,match_key,alias_merged,occurrence,status,seat,entry_no
B02,Sher,The Real Easy Book,vol 2,Don't Ask,don't ask,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Don't Get Scared,don't get scared,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Don't Shoot The Messenger,don't shoot the messenger,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Early Autumn,early autumn,,1,seated,List 5C,18
B02,Sher,The Real Easy Book,vol 2,Enchantment,enchantment,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Europa,europa,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,A Face Like Yours,face like yours,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Fantasy In D,fantasy in d,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Feeling Good,feeling good,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Feels So Good,feels so good,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Four,four,,1,seated,List 1A,17
B02,Sher,The Real Easy Book,vol 2,Four On Six,four on six,,1,seated,List 2,23
B02,Sher,The Real Easy Book,vol 2,Full House,full house,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Fuscia Swing Song,fuscia swing song,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Gee Baby Ain't I Good To You?,gee baby ain't i good to you,,1,seated,List 5A,20
B02,Sher,The Real Easy Book,vol 2,Getting Some Fun Out Of Life,getting some fun out of life,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Ginza Samba,ginza samba,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Gnid,gnid,,1,declined,,
B02,Sher,The Real Easy Book,vol 2,Groovin' High,groovin' high,,1,seated,List 1B,19
B02,Sher,The Real Easy Book,vol 2,Hi Fly,hi fly,,1,seated,List 2,29
B02,Sher,The Real Easy Book,vol 2,I Should Care,i should care,,1,seated,List 5A,32
B02,Sher,The Real Easy Book,vol 2,Icarus,icarus,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Jeannine,jeannine,,1,seated,List 3,41
B02,Sher,The Real Easy Book,vol 2,Jubilation,jubilation,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Leyte,leyte,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Look To The Sky,look to the sky,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Lyresto,lyresto,,1,outside,,
B02,Sher,The Real Easy Book,vol 2,Mating Call,mating call,,1,declined,,
