title
9:20 Special
12th Street Rag
26-2
52nd Street Theme
502 Blues (AKA Drinkin' And Drivin')
Adam's Apple
An Affair to Remember
Afro Blue
Afro-Centric
After Hours
After I Say I'm Sorry
After The Rain
After You've Gone
Afternoon in Paris
Ah-Leu-Cha
Ain't Misbehavin'
Ain't She Sweet
Air Mail Special
Airegin
Aisha
Alexander's Ragtime Band
Alfie
Alice In Wonderland
All Alone
All Blues
All By Myself
All God's Chillun Got Rhythm
All My Life
All of Me
All of You
All or Nothing At All
All the Things You Are
All the Way
All Through the Night
All Too Soon
Allen's Alley
Almost Like Being in Love
Alone Together
Along Came Betty
Always
Am I Blue
Amazing Grace
Ambrosia
Ana Maria
And the Angels Sing
Angel Eyes
Angola
Anthropology
Any Old Time
Anything Goes
Apex
April in Paris
Are You Real?
Arietis
As Long As I Live
As Time Goes By
Ask Me Now
At Last
At Long Last Love
At Sundown
At the Jazz Band Ball
"A-Tisket, A-Tasket"
Au Privave
Auld Lang Syne
Aunt Hagar's Blues
Autumn in New York
Autumn Leaves (Les Feuilles Mortes)
Autumn Nocturne
Autumn Serenade
Avalon
Away in a Manger
Azure
"Baby, It's Cold Outside"
Baby Won't You Please Come Home
Back in Your Own Backyard
Back Water Blues
Backstage Sally
Bad and the Beautiful (Theme from the)
Bags' Groove
Baia
Ballin' the Jack
Ba-lue Bolivar Ba-lues-are (AKA Bolivar Blues)
Barbados
Barbara
Barracudas
Basin Street Blues
Bass Blues
"Baubles, Bangles and Beads"
Be My Love
Beale Street Blues
Bean And The Boys (AKA Burt Covers Bud)
Beatrice
A Beautiful Friendship
Beautiful Love
Be-Bop
Begin the Beguine
Bei Mir Bist Du Schoen
Bemsha Swing
Bernie's Tune
Besame Mucho
"Bess, You Is My Woman Now"
Bessie's Blues
The Best Is Yet to Come
The Best Thing for You
The Best Things in Life Are Free
Between the Devil and the Deep Blue Sea
Bewitched
Beyond All Limits
Big Foot
Big Nick
The Big Push
Bill
Bill Bailey Won't You Please Come Home
Billie's Bounce
Billy Boy
Birdlike
Birk's Works
Birth of the Blues
Bittersweet
Black and Blue
Black and Tan Fantasy
Black Coffee
Black Narcissus
Black Nile
Blame It on My Youth
The Blessing
Blood Count
Bloomdido
Blue and Sentimental
Blue Bossa
Blue Daniel
Blue in Green
Blue Lou
Blue Monk
Blue Moon
Blue 'N' Boogie
Blue Room
Blue Seven
Blue Silver
Blue Skies
Blue Spirits
Blue Trane
Blue Turning Grey Over You
Blueberry Hill
Bluebird
Blues By Five
Blues For Alice
Blues For Wood
Blues in My Heart
Blues in the Closet
Blues in the Night
Blues March
Blues Minor
Blues On The Corner
The Blues Walk
Bluesette
Body and Soul
Bohemia After Dark
Bolivia
Book's Bossa
Boplicity
Born to Be Blue
Bouncin' with Bud
The Boy Next Door
Brazil
The Breeze and I
Bright Mississippi
Brilliant Corners
Brite Piece
Broadway
Brownskin Girl
Bugle Call Rag
But Beautiful
But Not for Me
Buzzy
By Myself
Bye Bye Blackbird
Bye Bye Blues
Bye-Ya
C Jam Blues
C. R. M.
Cabin in the Sky
Canadian Sunset
Candy
Can't Help Lovin' Dat Man
Can't We Be Friends
Cantaloupe Island
Capetown Ambush
Caravan
Careless Love
Carioca
Celia
Centerpiece
Central Park West
Ceora
Change Partners
Charleston
Chasin' the Bird
Chattanooga Choo Choo
Cheek to Cheek
Cheese Cake
Chelsea Bridge
Cherokee (Indian Love Song)
Cherry
Cheryl
Chi Chi
Chicago (That Toddlin' Town)
Chick's Tune
A Child Is Born
Children Of The Night
China Boy
Chinatown My Chinatown
Chloe
Choose Now
The Christmas Song
Christmas Time is Here
Christopher Columbus
Chronic Blues
Close Enough for Love
Close Your Eyes
Cocktails for Two
Come Rain or Come Shine
Come Sunday
Comes Love
Con Alma
Conception
Confirmation
Constellation
Contemplation
The Continental
Cool Blues
Coquette
Corcovado (Quiet Nights of Quiet Stars)
Cottage for Sale
Cottontail
Count Every Star
Count Your Blessings
Countdown
Cousin Mary
Crazeology
Crazy He Calls Me
Crazy Rhythm
The Creole Love Call
Crepuscule With Nellie
Crescent
Crisis
Criss Cross
Cry Me a River
C.T.A.
Cyclic Episode
Daahoud
Dance Cadaverous
Dance Of The Infidels
Dancing in the Dark
Dancing on the Ceiling
Danny Boy
Dark Eyes
Darktown Strutters Ball
Darn That Dream
Dat Dere
Davenport Blues
Day By Day
Day Dream
"Day In, Day Out"
Days of Wine and Roses
Dear Old Southland
Dear Old Stockholm
Dearly Beloved
Dedicated to You
Deed I Do
Deep in a Dream
Deep Night
Deep Purple
Deep River
Del Sasser
Delilah
Deluge
Desafinado
Detour Ahead
Dewey Square
Dexterity
Diane
Dig
Dinah
Dindi
Dizzy Atmosphere
Django
Do Nothin' Till You Hear from Me
Do You Know What It Means to Miss New Orleans
Doggin' Around
Dolphin Dance
Donna Lee
Don't Be That Way
Don't Blame Me
Don't Explain
Don't Get Around Much Anymore
Don't Go to Strangers
Don't Take Your Love from Me
Don't Worry 'Bout Me
Don't You Know I Care?
Doxy
Dr. Jekyll (AKA Dr. Jackle)
Dream
Dream Dancing
Dream of You
Driftin'
Drop Me off in Harlem
The Duke
Early Autumn
East of the Sun (and West of the Moon)
Easter Parade
Eastern Joy Dance
Easy Does It
Easy Living
Easy to Love
Ecaroh
Echoes of Harlem
Effendi
Eighty One
El Gaucho
Elm
Embraceable You
Emily
The End of a Love Affair
Episode From A Village Dance
Epistrophy
Equinox
Eronel
Escapade
E.S.P.
Estate
The Eternal Triangle
Every Day I Have the Blues
Every Tub
Everybody Loves My Baby
Everything but You
