title,programs,in_the_index,index_entry,program_list,printed_forms
Mood Indigo,2,List 5A,List 5A #47,Utah; William Paterson,MOOD INDIGO | Mood Indigo
Moon Germs,1,,,William Paterson,
Moontrane,1,List 2,List 2 #73,Cal State Long Beach,
Moose the Mooch,1,,,Marshall,
Moose the Mooche,3,List 1A,List 1A #91,Oregon; Utah; William Paterson,MOOSE THE MOOCHE | Moose the Mooche
More Than You Know,1,List 5B,List 5B #46,William Paterson,
Move,1,List 2,List 2 #114,William Paterson,
Mr. P. C.,9,List 1A,List 1A #87,Cal State Long Beach; Iowa; Marshall; Oregon; San Diego State; Texas State; Utah; Utah Valley; William Paterson,MR. P.C. | Mr. P. C. | Mr. P.C. | Mr. PC
My Favorite Things,3,List 1A,List 1A #36,Marshall; Utah; William Paterson,MY FAVORITE THINGS | My Favorite Things
My Favorite Tings,1,,,Cal State Long Beach,
My Foolish Heart,5,List 5A,List 5A #49,Alabama; Colorado Boulder; Marshall; Utah; William Paterson,MY FOOLISH HEART | My Foolish Heart
My funny valentine,6,List 1A,List 1A #37,Alabama; Cal State Long Beach; Marshall; Utah; Utah Valley; William Paterson,MY FUNNY VALENTINE | My Funny Valentine | My funny valentine
My Little Boat,1,,,William Paterson,
MY LITTLE SUEDE SHOES,1,List 2,List 2 #46,Utah,
My Old Flame,2,List 5A,List 5A #50,Utah; William Paterson,MY OLD FLAME | My Old Flame
My One and Only Love,5,List 1B,List 1B #37,Alabama; Cal State Long Beach; Colorado Boulder; Utah; William Paterson,MY ONE AND ONLY LOVE | My One And Only Love | My One and Only Love
My romance,7,List 1A,List 1A #38,Alabama; Cal State Long Beach; Colorado Boulder; Oregon; Utah; Utah Valley; William Paterson,MY ROMANCE | My Romance | My romance
My Secret Love,4,List 5A,List 5A #59,Alabama; Cal State Long Beach; Utah; William Paterson,My Secret Love | SECRET LOVE | Secret Love
My Shining Hour,2,List 1B,List 1B #38,Cal State Long Beach; Utah,MY SHINING HOUR | My Shining Hour
My Ship,2,List 5B,List 5B #48,Utah; William Paterson,MY SHIP | My Ship
Naima,3,List 2,List 2 #47,Cal State Long Beach; Utah; William Paterson,NAIMA | Naima
Nancy,1,List 5C,List 5C #48,William Paterson,
Nardis,4,List 1A,List 1A #39,Cal State Long Beach; Utah; Utah Valley; William Paterson,NARDIS | Nardis
"Nearness of You, The",5,List 5A,List 5A #72,Alabama; Marshall; Oregon; Utah; William Paterson,"NEARNESS OF YOU, THE | Nearness of You, The | The Nearness of You"
Nefertiti,3,List 2,List 2 #48,Cal State Long Beach; San Diego State; William Paterson,
Never Will I Marry,1,,,William Paterson,
Nica's dream,4,List 1B,List 1B #39,Cal State Long Beach; Utah; Utah Valley; William Paterson,NICA'S DREAM | Nica's Dream | Nica's dream | Nica’s Dream
Night and Day,8,List 1A,List 1A #40,Alabama; Cal State Long Beach; Iowa; Oregon; Texas State; Utah; Utah Valley; William Paterson,NIGHT AND DAY | Night And Day | Night and Day
Night Dreamer,1,List 3,List 3 #52,William Paterson,
NIGHT HAS 1000 EYES,1,,,Utah,
Now's the Time,9,List 1A,List 1A #76,Colorado Boulder; Iowa; Marshall; Oregon; Texas State; Utah; Utah Valley; Western Michigan; William Paterson,NOW'S THE TIME | Now's The Time | Now's the Time | Now’s the Time
Nutville,1,,,William Paterson,
OFF MINOR,1,List 2,List 2 #51,Utah,
OH LADY BE GOOD,1,List 2,List 2 #52,Utah,
OLD DEVIL MOON,1,List 5B,List 5B #49,Utah,
Old Folks,3,List 5A,List 5A #53,Marshall; Utah; William Paterson,OLD FOLKS | Old Folks
OLD MILESTONES,1,,,Utah,
Oleo,10,List 1A,List 1A #92,Cal State Long Beach; Central Florida; Colorado Boulder; Marshall; Oregon; Texas State; Utah; Utah Valley; Western Michigan; William Paterson,OLEO | Oleo
On A Clear Day,1,List 5A,List 5A #54,Alabama,
On Green Dolphin Street (C and Eb),6,List 1A,List 1A #42,Alabama; Cal State Long Beach; Marshall; Texas State; Utah; Utah Valley,ON GREEN DOLPHIN STREET | On Green Dolphin Street | On Green Dolphin Street (C and Eb)
On the Sunny Side of the Street,1,List 4,List 4 #55,Marshall,
On the Trail,1,,,William Paterson,
Once I Loved,4,List 5A,List 5A #55,Cal State Long Beach; Oregon; Utah; William Paterson,ONCE I LOVED | Once I Loved
One Finger Snap,3,List 3,List 3 #57,Oregon; Utah; William Paterson,ONE FINGER SNAP | One Finger Snap | One-Finger Snap
One for Amos,1,,,William Paterson,
One For Daddy-O,1,,,Oregon,
One Note Samba,2,List 1B,List 1B #40,Utah; William Paterson,ONE NOTE SAMBA | One Note Samba
Orinthology,1,,,Cal State Long Beach,
Ornithology,7,List 1A,List 1A #43,Central Florida; Colorado Boulder; Marshall; Utah; Utah Valley; Western Michigan; William Paterson,
Our Love is Here to Stay,4,List 1B,List 1B #32,Alabama; Cal State Long Beach; Utah; William Paterson,OUR LOVE IS HERE TO STAY | Our Love Is Here To Stay | Our Love is Here to Stay
Out of Nowhere,7,List 1A,List 1A #44,Alabama; Cal State Long Beach; Marshall; Oregon; Utah; Utah Valley; William Paterson,OUT OF NOWHERE | Out Of Nowhere | Out of Nowhere
Over the Rainbow,2,List 1B,List 1B #41,Utah; William Paterson,OVER THE RAINBOW | Over the Rainbow
Pannonica,2,List 2,List 2 #54,Cal State Long Beach; Utah,PANNONICA | Pannonica
Parisian Thoroughfare,1,List 3,List 3 #59,Central Florida,
Passion Dance,1,List 2,List 2 #55,William Paterson,
Peace (Horace Silver),3,List 2,List 2 #56,Sonoma State; Utah; William Paterson,PEACE | Peace | Peace (Horace Silver)
Pensativa,1,List 3,List 3 #60,William Paterson,
Pent Up House,3,List 2,List 2 #57,San Diego State; Utah; William Paterson,PENT-UP HOUSE | Pent Up House
Perdido,3,List 4,List 4 #56,Cal State Long Beach; Marshall; Oregon,
PHASE DANCE,1,,,Utah,
Pinocchio,1,List 3,List 3 #61,William Paterson,
Polkadots and Moonbeams,1,List 1B,List 1B #42,Marshall,
Poor Butterfly,1,,,William Paterson,
Prancing,1,,,William Paterson,
Preacher,2,List 2,List 2 #75,Utah; William Paterson,Preacher | THE PREACHER
Prelude to a Kiss,4,List 5A,List 5A #57,Cal State Long Beach; Utah; Western Michigan; William Paterson,PRELUDE TO A KISS | Prelude To A Kiss | Prelude to a Kiss
Prince Albert,1,List 3,List 3 #62,Central Florida,
Program,1,,,William Paterson,
QUESTION & ANSWER,1,,,Utah,
Quicksilver,2,List 3,List 3 #64,Cal State Long Beach; William Paterson,
Quiet Nights,1,,,William Paterson,
Rain Waltz,1,,,San Diego State,
Recordame,8,List 1A,List 1A #45,Cal State Long Beach; Iowa; Marshall; Oregon; Texas State; Utah; Utah Valley; William Paterson,RECORDA ME | RECORDAME | Recorda Me | Recorda-Me | Recordame
Red Clay,2,List 2,List 2 #59,Utah; William Paterson,RED CLAY | Red Clay
Reincarnation of a Love Bird,1,,,San Diego State,
RELAXIN' AT CAMARILLO,1,List 3,List 3 #110,Utah,
Remember Rockefeller at Attica,1,,,San Diego State,
Rhythm-A-Ning,3,List 1A,List 1A #93,Marshall; Utah; William Paterson,RHYTHM-A-NING | Rhythm-A-Ning
Room 608,3,List 3,List 3 #137,Cal State Long Beach; Central Florida; William Paterson,
'Round Midnight (Monk changes),8,List 1A,List 1A #46,Alabama; Cal State Long Beach; Iowa; Oregon; Sonoma State; Texas State; Utah; William Paterson,'ROUND MIDNIGHT | 'Round Midnight | 'Round Midnight (Monk changes) | Round Midnight
ROUTE 66,1,List 5C,List 5C #51,Utah,
"RUBY, MY DEAR",1,List 2,List 2 #60,Utah,
Sail Away,2,List 3,List 3 #67,Cal State Long Beach; Utah,SAIL AWAY | Sail Away
Salt Peanuts,1,List 2,List 2 #116,Oregon,
Samba de Orfeo,1,,,Western Michigan,
Sandu,4,List 1A,List 1A #77,Marshall; San Diego State; Utah; Utah Valley,SANDU | Sandu
Satin Doll,8,List 1A,List 1A #47,Alabama; Iowa; Marshall; Oregon; Texas State; Utah Valley; Western Michigan; William Paterson,
Scrapple from the Apple,6,List 1B,List 1B #43,Cal State Long Beach; Central Florida; Marshall; Oregon; Utah; William Paterson,SCRAPPLE FROM THE APPLE | Scrapple From The Apple | Scrapple from the Apple
Sea Journey,1,,,William Paterson,
Segment,1,,,Oregon,
