title,programs,in_the_index,index_entry,program_list,printed_forms
26-2,2,List 3,List 3 #1,San Diego State; William Paterson,
500 Miles High,2,List 3,List 3 #2,Utah; William Paterson,500 MILES HIGH | 500 Miles High
A Child Is Born,3,List 2,List 2 #1,Marshall; Utah; William Paterson,A CHILD IS BORN | A Child Is Born | Child Is Born
A Day In The Life Of A Fool,1,List 1A,List 1A #31,Marshall,
A Foggy Day,5,List 1B,List 1B #1,Alabama; Cal State Long Beach; Oregon; Utah; William Paterson,A FOGGY DAY | A Foggy Day | Foggy Day
A Night in Tunisia,8,List 1A,List 1A #41,Alabama; Cal State Long Beach; Marshall; Oregon; Sonoma State; Utah; Utah Valley; William Paterson,"A NIGHT IN TUNISIA | A Night In Tunisia | A Night in Tunisia | Night In Tunisia | Night In Tunisia, A | Night in Tunisia"
A Time For Love,1,List 5C,List 5C #2,Cal State Long Beach,
Afro blue,3,List 1A,List 1A #1,Cal State Long Beach; Utah Valley; William Paterson,Afro Blue | Afro blue
After You've Gone,4,List 4,List 4 #30,Alabama; Cal State Long Beach; Oregon; Utah,AFTER YOU'VE GONE | After You've Gone
Afternoon in Paris,4,List 2,List 2 #3,Cal State Long Beach; Marshall; Oregon; William Paterson,Afternoon In Paris | Afternoon in Paris
Ain't Misbehavin',1,List 4,List 4 #16,Alabama,
Airegin,4,List 1B,List 1B #2,Cal State Long Beach; Central Florida; Utah; William Paterson,AIREGIN | Airegin
Alice In Wonderland,2,List 2,List 2 #4,Oregon; Utah,ALICE IN WONDERLAND | Alice In Wonderland
All Blues,10,List 1A,List 1A #69,Alabama; Cal State Long Beach; Colorado Boulder; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; William Paterson,ALL BLUES | All Blues
All of Me,6,List 1A,List 1A #2,Alabama; Iowa; Marshall; Oregon; Utah; William Paterson,ALL OF ME | All of Me
All of You,5,List 1B,List 1B #3,Alabama; Iowa; Marshall; Utah; William Paterson,ALL OF YOU | All of You
All the Things You Are,12,List 1A,List 1A #3,Alabama; Cal State Long Beach; Colorado Boulder; Iowa; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; Western Michigan; William Paterson,ALL THE THINGS YOU ARE | All The Things You Are | All the Things You Are
Almost Like Being in Love,1,List 5A,List 5A #1,Alabama,
Alone Together,11,List 1A,List 1A #4,Alabama; Cal State Long Beach; Iowa; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; Western Michigan; William Paterson,ALONE TOGETHER | Alone Together
Along Came Betty,6,List 2,List 2 #5,Cal State Long Beach; Iowa; Sonoma State; Utah; Western Michigan; William Paterson,ALONG CAME BETTY | Along Came Betty
Ana Maria,1,List 3,List 3 #5,San Diego State,
Angel Eyes,2,List 1B,List 1B #4,Cal State Long Beach; William Paterson,
Anthropology,7,List 1A,List 1A #88,Cal State Long Beach; Central Florida; Marshall; Oregon; Sonoma State; Utah; William Paterson,ANTHROPOLOGY | Anthropology
April in Paris,1,List 5A,List 5A #2,William Paterson,
April Joy,1,,,William Paterson,
Are You Real?,1,List 3,List 3 #6,William Paterson,
As Time Goes By,1,List 5B,List 5B #5,William Paterson,
ASK ME NOW,1,List 3,List 3 #7,Utah,
Au Privave,7,List 1A,List 1A #70,Cal State Long Beach; Central Florida; Colorado Boulder; Marshall; Utah; Utah Valley; William Paterson,AU PRIVAVE | Au Privave
Autumn in New York,2,List 5A,List 5A #3,Alabama; William Paterson,
Autumn Leaves (em and gm),12,List 1A,List 1A #5,Alabama; Cal State Long Beach; Colorado Boulder; Iowa; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; Western Michigan; William Paterson,AUTUMN LEAVES | Autumn Leaves | Autumn Leaves (em and gm)
Bag's Groove,3,List 1A,List 1A #71,Marshall; Oregon; Utah,BAG'S GROOVE | Bag's Groove
Bb Rhythm Changes,1,,,Iowa,
Bean and the Boys,1,List 3,List 3 #8,Central Florida,
Beatrice,3,List 1B,List 1B #5,Iowa; Utah; Utah Valley,BEATRICE | Beatrice
Beautiful love,7,List 1B,List 1B #6,Alabama; Cal State Long Beach; Marshall; Oregon; Utah; Utah Valley; William Paterson,BEAUTIFUL LOVE | Beautiful Love | Beautiful love
Bebop,2,List 2,List 2 #6,Central Florida; Marshall,Be Bop | Bebop
BEMSHA SWING,1,List 2,List 2 #7,Utah,
BERNIE'S TUNE,1,List 2,List 2 #8,Utah,
Bessie's Blues,3,List 2,List 2 #94,Oregon; San Diego State; William Paterson,Bessie's Blues | Bessie’s Blues
Bewitched,1,List 5B,List 5B #9,Alabama,
Beyond All Limits,1,,,Cal State Long Beach,
Billie's Bounce,9,List 1A,List 1A #72,Cal State Long Beach; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; Western Michigan; William Paterson,BILLIE'S BOUNCE | Billie's Bounce | Billie’s Bounce
Birk's Works,3,List 2,List 2 #109,Iowa; Oregon; Utah,BIRK'S WORKS | Birk's Works
Black Narcissus,2,List 3,List 3 #9,Utah; William Paterson,BLACK NARCISSUS | Black Narcissus
Black Orpheus,7,List 1A,List 1A #31,Alabama; Colorado Boulder; Oregon; Texas State; Utah; Utah Valley; William Paterson,BLACK ORPHEUS | Black Orpheus
Blood Count,1,List 3,List 3 #12,Cal State Long Beach,
Blue Bossa,11,List 1A,List 1A #6,Alabama; Cal State Long Beach; Colorado Boulder; Iowa; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; William Paterson,BLUE BOSSA | Blue Bossa
Blue Daniel,1,,,Iowa,
Blue Friday,1,,,Oregon,
Blue In Green,1,List 2,List 2 #10,Cal State Long Beach,
Blue Monk,7,List 1A,List 1A #74,Iowa; Marshall; Oregon; Sonoma State; Utah; Utah Valley; William Paterson,BLUE MONK | Blue Monk
Blue Moon,1,List 5A,List 5A #4,Utah Valley,
Blue ‘N’ Green,1,,,William Paterson,
Blue Skies,2,List 5A,List 5A #5,Marshall; Utah,
Blue Train,3,List 1A,List 1A #84,Marshall; Oregon; William Paterson,Blue Train | Blue Trane
Blues for Alice,8,List 1A,List 1A #73,Cal State Long Beach; Colorado Boulder; Marshall; Oregon; San Diego State; Utah; Western Michigan; William Paterson,BLUES FOR ALICE | Blues For Alice | Blues for Alice
Blues for Wood,1,List 3,List 3 #118,William Paterson,
BLUES IN THE CLOSET,1,List 3,List 3 #93,Utah,
Blues March,1,List 2,List 2 #11,William Paterson,
Blues Walk,1,List 1A,List 1A #81,Colorado Boulder,
Bluesette,7,List 1B,List 1B #7,Cal State Long Beach; Colorado Boulder; Iowa; Marshall; Oregon; Utah; William Paterson,BLUESETTE | Bluesette
Body and Soul,11,List 1A,List 1A #8,Alabama; Cal State Long Beach; Colorado Boulder; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; Western Michigan; William Paterson,BODY & SOUL | Body And Soul | Body and Soul
Bolivia,3,List 2,List 2 #9,Cal State Long Beach; Utah; William Paterson,BOLIVIA | Bolivia
BRIGHT SIZE LIFE,1,,,Utah,
Budo,1,List 3,List 3 #38,Central Florida,
But Beautiful,3,List 1B,List 1B #8,Alabama; Cal State Long Beach; William Paterson,
But Not for Me,6,List 1B,List 1B #9,Alabama; Cal State Long Beach; Marshall; Oregon; Utah; William Paterson,BUT NOT FOR ME | But Not For Me | But Not for Me
Bye Bye Blackbird,7,List 1A,List 1A #7,Alabama; Iowa; Oregon; Utah; Utah Valley; Western Michigan; William Paterson,BYE BYE BLACKBIRD | Bye Bye Blackbird
C Jam Blues,2,List 4,List 4 #90,Iowa; Utah,C Jam Blues | C-JAM BLUES
Cantaloupe Island,7,List 1A,List 1A #9,Iowa; Marshall; Oregon; Sonoma State; Texas State; Utah; Western Michigan,CANTALOUPE ISLAND | Cantaloupe Island
Caravan,5,List 1A,List 1A #10,Alabama; Marshall; Oregon; Utah; Utah Valley,CARAVAN | Caravan
Central Park West,1,List 3,List 3 #16,William Paterson,
Ceora,6,List 1B,List 1B #10,Cal State Long Beach; Central Florida; Iowa; Marshall; San Diego State; William Paterson,
Chega De Saudade,2,List 2,List 2 #50,Cal State Long Beach; Utah,CHEGA DE SAUDADE (NO MORE BLUES) | Chega De Saudade
Chelsea Bridge,2,List 4,List 4 #77,Cal State Long Beach; William Paterson,
Cherokee,11,List 1A,List 1A #11,Alabama; Cal State Long Beach; Iowa; Marshall; Oregon; San Diego State; Sonoma State; Texas State; Utah; Western Michigan; William Paterson,CHEROKEE | Cherokee
Cheryl,2,List 2,List 2 #100,Utah; William Paterson,CHERYL | Cheryl
CHI CHI,1,List 3,List 3 #98,Utah,
Clockwise,1,,,Cal State Long Beach,
Come Fly with Me,1,,,Alabama,
Come Rain or Come Shine,4,List 1B,List 1B #11,Alabama; Cal State Long Beach; Utah; William Paterson,COME RAIN OR COME SHINE | Come Rain Or Come Shine | Come Rain or Come Shine
Come Sunday,1,List 5A,List 5A #6,William Paterson,
Con Alma,2,List 2,List 2 #13,Utah; William Paterson,CON ALMA | Con Alma
Confirmation,9,List 1A,List 1A #12,Cal State Long Beach; Central Florida; Colorado Boulder; Marshall; Sonoma State; Texas State; Utah; Western Michigan; William Paterson,CONFIRMATION | Confirmation
Cookin at the Continental,2,,,Central Florida; Utah,COOKIN” at THE CONTINENTAL | Cookin at the Continental
Cool Blues,2,List 2,List 2 #101,Marshall; Utah,COOL BLUES | Cool Blues
Coral Keys,1,,,William Paterson,
Corcovado,6,List 1A,List 1A #13,Alabama; Cal State Long Beach; Marshall; Oregon; Texas State; Utah,CORCOVADO | Corcovado
Cottontail,4,List 1A,List 1A #89,Cal State Long Beach; Oregon; Utah; William Paterson,COTTONTAIL | Cottontail
Countdown,4,List 2,List 2 #14,Cal State Long Beach; Utah; Western Michigan; William Paterson,COUNTDOWN | Countdown
Crescent,1,List 3,List 3 #23,William Paterson,
Crystal Silence,1,,,William Paterson,
CYCLIC EPISODE,1,,,Utah,
Daahoud,3,List 2,List 2 #15,Cal State Long Beach; Central Florida; William Paterson,
DANCE CADAVEROUS,1,List 3,List 3 #25,Utah,
Dancing in the Dark,1,List 5C,List 5C #13,William Paterson,
Darn that Dream,5,List 5A,List 5A #9,Alabama; Cal State Long Beach; Oregon; Utah; William Paterson,DARN THAT DREAM | Darn That Dream | Darn that Dream
DAY BY DAY,1,List 5C,List 5C #14,Utah,
"Day In, Day Out",1,List 5C,List 5C #15,Alabama,
Day Waves,1,,,William Paterson,
Daydream,1,List 5B,List 5B #13,William Paterson,
Days of Wine and Roses,9,List 1A,List 1A #14,Alabama; Cal State Long Beach; Colorado Boulder; Marshall; Oregon; Texas State; Utah; Utah Valley; William Paterson,DAYS OF WINE AND ROSES | Days Of Wine And Roses | Days of Wine and Roses
Dearly Beloved,1,,,William Paterson,
Dedicated to You,1,,,William Paterson,
Deed I Do,1,List 5C,List 5C #16,Alabama,
Desafinado,4,List 1B,List 1B #12,Marshall; Utah Valley; Western Michigan; William Paterson,
Desifinado,2,,,Cal State Long Beach; Utah,DESIFINADO | Desifinado
Dexterity,3,List 2,List 2 #112,Marshall; Oregon; Utah,DEXTERITY | Dexterity
Dig,3,,,Central Florida; Utah; William Paterson,DIG | Dig
Dindi,2,List 5B,List 5B #15,Western Michigan; William Paterson,
Django,1,List 2,List 2 #17,William Paterson,
DO NOTHING TIL YOU HEAR FROM ME,1,,,Utah,
Dolphin Dance,5,List 1B,List 1B #13,Cal State Long Beach; San Diego State; Sonoma State; Utah; William Paterson,DOLPHIN DANCE | Dolphin Dance
Donna Lee,10,List 1A,List 1A #15,Cal State Long Beach; Central Florida; Colorado Boulder; Iowa; Marshall; Sonoma State; Utah; Utah Valley; Western Michigan; William Paterson,
Don’t Blame Me,2,List 5A,List 5A #11,Utah; William Paterson,DON'T BLAME ME | Don’t Blame Me
Don't Get Around Much Anymore,3,List 1B,List 1B #14,Cal State Long Beach; Oregon; Utah,DON'T GET AROUND MUCH ANYMORE | Don't Get Around Much Anymore
Doxy,8,List 1A,List 1A #16,Alabama; Cal State Long Beach; Iowa; Marshall; Oregon; Utah; Utah Valley; William Paterson,DOXY | Doxy
E. S. P.,3,List 2,List 2 #19,Cal State Long Beach; San Diego State; William Paterson,E. S. P. | E.S.P. | ESP
Early Autumn,1,List 5C,List 5C #18,William Paterson,
East of the sun,2,List 5A,List 5A #12,Utah; Utah Valley,EAST OF THE SUN | East of the sun
Easy Living,5,List 5A,List 5A #13,Alabama; Cal State Long Beach; Marshall; Utah; William Paterson,EASY LIVING | Easy Living
Easy to Love,2,List 5A,List 5A #14,Utah; William Paterson,EASY TO LOVE | Easy to Love
Ecaroh,1,,,Cal State Long Beach,
Eighty-One,1,List 2,List 2 #103,William Paterson,
Embraceable You,4,List 1B,List 1B #15,Alabama; Cal State Long Beach; Utah; William Paterson,EMBRACEABLE YOU | Embraceable You
Emily,4,List 5A,List 5A #15,Marshall; Oregon; Utah; William Paterson,EMILY | Emily
EPISTROPHY,1,List 2,List 2 #18,Utah,
Equinox,3,List 1A,List 1A #85,Oregon; Utah; William Paterson,EQUINOX | Equinox
Estate,2,List 5B,List 5B #17,Cal State Long Beach; Western Michigan,
Everything Happens to Me,2,List 5A,List 5A #16,Cal State Long Beach; William Paterson,Everything Happens To Me | Everything Happens to Me
Evidence,2,List 2,List 2 #20,Western Michigan; William Paterson,
Exactly Like You,1,List 4,List 4 #50,Cal State Long Beach,
Fall,1,List 3,List 3 #31,William Paterson,
Falling in Love With Love,2,List 5A,List 5A #18,Utah; William Paterson,FALLING IN LOVE WITH LOVE | Falling in Love With Love
Fee Fi Fo Fum,3,List 2,List 2 #21,Cal State Long Beach; Utah; William Paterson,FEE-FI-FO-FUM | Fee Fi Fo Fum
Fine and Dandy,1,List 5C,List 5C #21,Alabama,
Fine Romance,1,,,Alabama,
Firm Roots,2,List 3,List 3 #32,Utah; Western Michigan,FIRM ROOTS | Firm Roots
Five Hundred Miles High,1,,,San Diego State,
Footprints,6,List 1A,List 1A #86,Cal State Long Beach; Oregon; Sonoma State; Utah; Utah Valley; William Paterson,FOOTPRINTS | Footprints
Forest Flower,1,,,William Paterson,
Four,9,List 1A,List 1A #17,Alabama; Cal State Long Beach; Central Florida; Marshall; Oregon; Utah; Utah Valley; Western Michigan; William Paterson,FOUR | Four
Freddie the Freeloader,6,List 1A,List 1A #75,Cal State Long Beach; Marshall; Oregon; Sonoma State; Utah; William Paterson,FREDDIE FREELOADER | Freddie Freeloader | Freddie The Freeloader | Freddie the Freeloader
Freedom Jazz Dance,4,List 1B,List 1B #16,Central Florida; Oregon; Utah; William Paterson,FREEDOM JAZZ DANCE | Freedom Jazz Dance
FREIGHT TRANE,1,,,Utah,
FROM THIS MOMENT ON,1,List 5C,List 5C #25,Utah,
Georgia On My Mind,4,List 1B,List 1B #17,Alabama; Cal State Long Beach; Marshall; Oregon,Georgia | Georgia On My Mind
Ghost of a Chance,1,List 5A,List 5A #21,William Paterson,
Giant Steps,10,List 2,List 2 #24,Cal State Long Beach; Central Florida; Iowa; Marshall; San Diego State; Sonoma State; Texas State; Utah; Western Michigan; William Paterson,GIANT STEPS | Giant Steps
Gingerbread Boy,2,List 2,List 2 #104,Central Florida; William Paterson,
Girl From Impanema,1,,,Colorado Boulder,
Girl From Impanima,1,,,Iowa,
Gloria’s Step,1,List 3,List 3 #35,William Paterson,
GOD BLESS THE CHILD,1,List 5A,List 5A #22,Utah,
Gone With the Wind,1,List 1B,List 1B #18,William Paterson,
Good Bait (A section only),3,List 2,List 2 #25,Oregon; Utah; Utah Valley,GOOD BAIT | Good Bait | Good Bait (A section only)
Goodbye Porkpie Hat,1,List 3,List 3 #36,William Paterson,
Green Dolphin Street,3,,,Colorado Boulder; Oregon; William Paterson,
Gregory is Here,2,List 2,List 2 #26,San Diego State; William Paterson,Gregory Is Here | Gregory is Here
Groovin' High,7,List 1B,List 1B #19,Cal State Long Beach; Central Florida; Marshall; Oregon; Utah; Utah Valley; William Paterson,GROOVIN' HIGH | Groovin' High | Groovin’ High
Half Nelson,4,List 2,List 2 #28,Central Florida; Marshall; Utah; William Paterson,Half Nelson | Half-Nelson
Have You Met Miss Jones?,10,List 1A,List 1A #18,Alabama; Cal State Long Beach; Colorado Boulder; Marshall; Oregon; Sonoma State; Texas State; Utah; Utah Valley; William Paterson,HAVE YOU MET MISS JONES | Have You Met Miss Jones | Have You Met Miss Jones?
Hello Young Lovers,1,,,William Paterson,
Here's That Rainy Day,4,List 1A,List 1A #19,Alabama; Cal State Long Beach; Utah; William Paterson,HERE'S THAT RAINY DAY | Here's That Rainy Day | Here’s That Rainy Day
Hi-Fly,1,List 2,List 2 #29,William Paterson,
Honeysuckle Rose,4,List 1B,List 1B #20,Alabama; Cal State Long Beach; Oregon; Utah Valley,
Hot House,4,List 2,List 2 #30,Cal State Long Beach; Central Florida; Marshall; Utah,HOT HOUSE | Hot House
How Deep is the Ocean,5,List 1B,List 1B #21,Alabama; Oregon; Utah; Western Michigan; William Paterson,HOW DEEP IS THE OCEAN | How Deep Is the Ocean | How Deep is the Ocean
How High the Moon,6,List 1A,List 1A #20,Alabama; Marshall; Oregon; Utah; Utah Valley; William Paterson,How High The Moon | How High the Moon
How Insensitive,7,List 1B,List 1B #22,Cal State Long Beach; Marshall; Oregon; Sonoma State; Utah; Western Michigan; William Paterson,HOW INSENSITIVE | How Insensitive
How My Heart Sings,1,,,William Paterson,
I Can't Get Started,5,List 1B,List 1B #23,Alabama; Cal State Long Beach; Oregon; Utah; William Paterson,I CAN'T GET STARTED | I Can't Get Started | I Can’t Get Started
I Concentrate On You,2,List 5B,List 5B #22,Utah; William Paterson,I CONCENTRATE ON YOU | I Concentrate On You
I Could Write A Book,3,List 5B,List 5B #23,Oregon; Utah; William Paterson,I COULD WRITE A BOOK | I Could Write A Book
I Cover the Waterfront,1,List 5A,List 5A #26,Alabama,
I Didn’t Know What Time It Was,1,List 5A,List 5A #27,William Paterson,
I Fall in Love Too Easily,1,List 5A,List 5A #28,Marshall,
I Got Rhythm,3,List 1A,List 1A #90,Alabama; Utah; William Paterson,I GOT RHYTHM | I Got Rhythm
I Hear a Rhapsody,4,List 1B,List 1B #24,Cal State Long Beach; Iowa; Utah; William Paterson,I HEAR A RHAPSODY | I Hear A Rhapsody | I Hear a Rhapsody
I Let A Song Go Out of,1,,,William Paterson,
I Love You,8,List 1A,List 1A #21,Alabama; Cal State Long Beach; Marshall; Oregon; Texas State; Utah; Utah Valley; William Paterson,I LOVE YOU | I Love You
I Mean You,3,List 2,List 2 #31,Marshall; San Diego State; Utah,I MEAN YOU | I Mean You
I Remember April,1,,,William Paterson,
I Remember Clifford,2,List 2,List 2 #32,Marshall; William Paterson,
I Remember You,3,List 1B,List 1B #25,Marshall; Utah; William Paterson,I REMEMBER YOU | I Remember You
I Should Care,5,List 5A,List 5A #32,Alabama; Cal State Long Beach; Marshall; Utah; William Paterson,I SHOULD CARE | I Should Care
I THOUGHT ABOUT YOU,1,List 5A,List 5A #34,Utah,
If I Should Lose You,2,List 5A,List 5A #36,Utah; Western Michigan,IF I SHOULD LOSE YOU | If I Should Lose You
If I Were A Bell,2,List 2,List 2 #33,Utah; William Paterson,IF I WERE A BELL | If I Were A Bell
If You Could See Me Now,1,List 5A,List 5A #37,William Paterson,
I’ll Be Around,1,List 5C,List 5C #35,William Paterson,
I'll Remember April,6,List 1B,List 1B #26,Alabama; Cal State Long Beach; Marshall; Oregon; Texas State; Utah,I'LL REMEMBER APRIL | I'll Remember April
I'm Getting Sentimental Over You,2,,,San Diego State; Utah,I'M GETTING SENTIMENTAL OVER YOU | I'm Getting Sentimental Over You
I'm Old Fashioned,1,List 5B,List 5B #29,Cal State Long Beach,
Imagination,1,List 5B,List 5B #34,William Paterson,
Impressions,8,List 1A,List 1A #22,Cal State Long Beach; Central Florida; Marshall; Oregon; Texas State; Utah; Utah Valley; William Paterson,IMPRESSIONS | Impressions
In a Mellow Tone,7,List 4,List 4 #79,Alabama; Cal State Long Beach; Iowa; Marshall; Oregon; Utah; William Paterson,IN A MELLOW TONE | In A Mellotone | In A Mellow Tone | In a Mellow Tone
In a Sentimental Mood,9,List 1A,List 1A #23,Alabama; Cal State Long Beach; Colorado Boulder; Marshall; Oregon; San Diego State; Texas State; Utah; William Paterson,IN A SENTIMENTAL MOOD | In A Sentimental Mood | In a Sentimental Mood
In The Wee Small Hours of the Morning,1,List 5B,List 5B #35,Marshall,
In Walked Bud,2,List 2,List 2 #34,Cal State Long Beach; Utah,
In Your Own Sweet Way,3,List 1B,List 1B #27,San Diego State; Utah; William Paterson,IN YOUR OWN SWEET WAY | In Your Own Sweet Way
Inchworm,1,,,William Paterson,
Indiana,4,List 4,List 4 #39,Cal State Long Beach; Oregon; Utah; Utah Valley,
Infant Eyes,2,List 2,List 2 #35,Cal State Long Beach; Iowa,
Inner Urge,3,List 2,List 2 #36,Cal State Long Beach; Western Michigan; William Paterson,
