contributors,title
12,All Blues
11,All of Me
29,All the Things You Are
23,Alone Together
11,Anthropology
28,Autumn Leaves
17,Billie's Bounce
15,Black Orpheus
21,Blue Bossa
11,Blue Monk
10,Blues for Alice
27,Body & Soul
10,But Not for Me
14,Bye Bye Blackbird
10,Caravan
11,Ceora
21,Cherokee
16,Confirmation
15,Corcovado
17,Days of Wine and Roses
12,Desafinado
12,Dolphin Dance
14,Donna Lee
13,Doxy
15,Footprints
12,Four
17,Giant Steps
17,Girl from Ipanema
22,Have You Met Miss Jones?
13,Here's that Rainy Day
14,How High the Moon
12,I Can't Get Started
11,I Hear a Rhapsody
20,I Love You
16,I'll Remember April
16,Impressions
15,In a Mellow Tone
22,In a Sentimental Mood
13,In Your Own Sweet Way
15,Invitation
13,It Could Happen to You
20,Joy Spring
21,Just Friends
15,Lady Bird
15,Like Someone in Love
11,Lover Man
13,Maiden Voyage
16,Misty
13,Moment's Notice
10,Mr. P.C.
10,My Foolish Heart
15,My Funny Valentine
12,My Romance
10,Nica's Dream
16,Night and Day
14,Night in Tunisia
10,Now's the Time
21,Oleo
26,On Green Dolphin Street
10,Ornithology
10,Out of Nowhere
10,Perdido
18,Recorda me
17,'Round Midnight
17,Satin Doll
10,Shadow of Your Smile
14,So What
18,Softly as in a Morning Sunrise
14,Solar
19,Some Day My Prince Will Come
10,Song for My Father
12,Speak Low
12,St. Thomas
10,Stablemates
12,Star Eyes
26,Stella by Starlight
13,Straight No Chaser
16,Summertime
11,Sweet Georgia Brown
26,Take the 'A' Train
18,There Is No Greater Love
26,There Will Never be Another You
10,Triste
11,Tune Up
17,Wave
11,Well You Needn't
23,What is This Thing Called Love?
11,What's New?
12,Yardbird Suite
17,Yesterdays
14,You Don't Know What Love Is
10,You Stepped Out of a Dream
