key	title	seat_d103	entry_no	watkins_band	watkins_list1	watkins_list2	watkins_cat_total	watkins_cat_survey	watkins_cat_additional	watkins_cat_cols	watkins_grade_years	miller_band	miller_calls	miller_rank
childisborn	A Child Is Born	2	1									log only	1	207
adamsapple	Adam's Apple	2	2											
afternooninparis	Afternoon in Paris [WM]	2	3	List 2 (7)		7					Freshman	Top 201	2	163
aliceinwonderland	Alice In Wonderland	2	4									log only	1	207
alongcamebetty	Along Came Betty [W]	2	5	List 2 (7)		7					Junior	Top 201		
bebop	Be-Bop	2	6											
bemshaswing	Bemsha Swing	2	7	categorical (3)			3	3	0	RiffBlues		log only	5	110
berniestune	Bernie's Tune [M]	2	8									Top 201	13	48
bolivia	Bolivia	2	9									log only	1	207
blueingreen	Blue in Green	2	10									Top 201	4	124
bluesmarch	Blues March	2	11	categorical (3)			3	2	1	Blues				
bohemiaafterdark	Bohemia After Dark [M]	2	12									log only	16	37
conalma	Con Alma	2	13								Senior			
countdown	Countdown [WM]	2	14	List 2 (5)		5					Senior	Top 201	1	207
daahoud	Daahoud	2	15											
datdere	Dat Dere	2	16											
django	Django	2	17											
epistrophy	Epistrophy [M]	2	18									log only	35	7
esp	E.S.P. [WM]	2	19	List 2 (5)		5					Senior	Top 201	2	163
evidence	Evidence	2	20											
feefifofum	Fee-Fi-Fo-Fum [WM]	2	21	List 2 (5)		5					Senior	Top 201	6	94
flamingo	Flamingo	2	22											
fouronsix	Four On Six	2	23									log only	1	207
giantsteps	Giant Steps [WM]	2	24	List 1 (17)	17						Junior|Senior	Top 201	1	207
goodbait	Good Bait [WM]	2	25	List 2 (7)		7	9	7	2	Rhythm	Freshman	Top 201	1	207
gregoryishere	Gregory Is Here	2	26											
hackensack	Hackensack (AKA Rifftide)	2	27									log only	4	124
halfnelson	Half Nelson [W]	2	28	List 2 (5)		5					Junior	Top 201		
hifly	Hi-Fly	2	29											
hothouse	Hot House [WM]	2	30	List 2 (7)		7					Junior	Top 201	2	163
imeanyou	I Mean You [WM]	2	31	List 2 (5)		5					Junior	Top 201	1	207
irememberclifford	I Remember Clifford	2	32											
ifiwereabell	If I Were a Bell [WM]	2	33	List 2 (8)		8					Junior	Top 201	4	124
inwalkedbud	In Walked Bud [M]	2	34									log only	10	67
infanteyes	Infant Eyes	2	35									log only	3	146
innerurge	Inner Urge [W]	2	36	List 2 (8)		8					Junior|Senior	Top 201		
isfahan	Isfahan [M]	2	37									log only	12	52
jordu	Jordu	2	38									log only	2	163
juju	Juju	2	39											
ladybird	Lady Bird [WM]	2	40	List 1 (15)	15						Sophomore	Top 201	5	110
lazybird	Lazy Bird [WM]	2	41	List 2 (6)		6					Junior	Top 201	1	207
littlebspoem	Little B's Poem	2	42											
minority	Minority	2	43											
monksdream	Monk's Dream	2	44											
monksmood	Monk's Mood	2	45											
mylittlesuedeshoes	My Little Suede Shoes	2	46									Top 201	6	94
naima	Naima	2	47									log only	4	124
nefertiti	Nefertiti	2	48											
neverletmego	Never Let Me Go	2	49											
nomoreblues	No More Blues [P] (Chega de Saudade)	2	50									log only	1	207
offminor	Off Minor	2	51									log only	2	163
ohladybegood	Oh, Lady Be Good!	2	52											
ourdelight	Our Delight	2	53											
pannonica	Pannonica	2	54											
passiondance	Passion Dance	2	55											
peace	Peace [W]	2	56	List 2 (7)		7					Senior	Top 201		
pentuphouse	Pent-Up House	2	57									log only	1	207
