index	seat	title	basis	provenance	idiom	rhythmic_frame	form_block	harmonic_terrain	latin_integrated
2	8	Bernie's Tune	classified; prints on the style page	Jazz composition	Cool / West Coast				
2	9	Blue in Green	classified; prints on the style page	Jazz composition	Modal				
2	10	Blues March	classified; prints on the style page	Jazz composition	Hard bop	march			
2	11	Bohemia After Dark	classified; prints on the style page	Jazz composition	Hard bop				
2	12	Bolivia	classified; prints on the style page	Jazz composition	Post-bop	samba			yes
2	13	Con Alma	classified; prints on the style page	Jazz composition	Latin jazz - Afro-Cuban	Afro-Cuban			
2	14	Countdown	classified; prints on the style page	Jazz composition	Post-bop				
2	15	Daahoud	classified; prints on the style page	Jazz composition	Hard bop				
2	16	Dat Dere	classified; prints on the style page	Jazz composition	Soul jazz / boogaloo	gospel			
2	17	Django	classified; prints on the style page	Jazz composition	Cool / West Coast				
2	18	Epistrophy	classified; prints on the style page	Jazz composition	Bebop				
2	19	E.S.P.	classified; prints on the style page	Jazz composition	Post-bop				
2	20	Evidence	classified; prints on the style page	Jazz composition	Bebop				
2	21	Fee-Fi-Fo-Fum	classified; prints on the style page	Jazz composition	Post-bop				
2	22	Flamingo	classified; prints on the style page	Songbook	Straight-ahead	Afro-Cuban			yes
2	23	Four On Six	classified; prints on the style page	Jazz composition	Hard bop				
2	24	Giant Steps	classified; prints on the style page	Jazz composition	Post-bop				
2	25	Good Bait	classified; prints on the style page	Jazz composition	Bebop				
2	26	Gregory Is Here	classified; prints on the style page	Jazz composition	Hard bop	jazz waltz			
2	27	Hackensack	classified; prints on the style page	Jazz composition	Bebop				
2	28	Half Nelson	classified; prints on the style page	Jazz composition	Bebop				
2	29	Hi-Fly	classified; prints on the style page	Jazz composition	Hard bop				
2	30	Hot House	classified; prints on the style page	Jazz composition	Bebop				
2	31	I Mean You	classified; prints on the style page	Jazz composition	Bebop				
2	32	I Remember Clifford	classified; prints on the style page	Jazz composition	Hard bop				
2	33	If I Were a Bell	classified; prints on the style page	Songbook	Straight-ahead				
