index	seat	title	basis	provenance	idiom	rhythmic_frame	form_block	harmonic_terrain	latin_integrated
3	137	Room 608	classified; form block, counted at § VI.5.f	Jazz composition	Hard bop		rhythm changes		
3	138	Second Balcony Jump	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		rhythm changes		
3	139	Steeplechase	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		rhythm changes		
3	140	The Serpent's Tooth	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		rhythm changes		
3	141	Wail	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		rhythm changes		
4	2	Ain't Misbehavin'	classified; reached, prints on Index 4.4 by period group	Jazz composition	Early jazz / New Orleans				
4	9	Basin Street Blues	classified; reached, prints on Index 4.4 by period group	Jazz composition	Early jazz / New Orleans				
4	12	Bourbon Street Parade	set-rule entry; [P] title, reached by nothing	Jazz composition	Early jazz / New Orleans	2nd line			
4	14	C Jam Blues	classified; reached, prints on Index 4.4 by period group	Jazz composition	Swing		twelve-bar blues		
4	20	Don't Be That Way	classified; reached, prints on Index 4.4 by period group	Jazz composition	Swing				
4	23	Exactly Like You	classified; reached, prints on Index 4.4 by period group	Songbook	Straight-ahead				
4	28	High Society	set-rule entry; [P] title, reached by nothing	Jazz composition	Early jazz / New Orleans				
4	35	In a Mellotone	classified; reached, prints on Index 4.4 by period group	Jazz composition	Swing				
4	37	Indiana	classified; reached, prints on Index 4.4 by period group	Songbook	Straight-ahead				
4	38	It Don't Mean a Thing	classified; reached, prints on Index 4.4 by period group	Jazz composition	Swing				
4	44	Jumpin' at the Woodside	classified; reached, prints on Index 4.4 by period group	Jazz composition	Swing				
4	49	Lester Leaps In	classified; reached, prints on Index 4.4 by period group	Jazz composition	Swing		rhythm changes		
4	51	Limehouse Blues	classified; reached, prints on Index 4.4 by period group	Songbook	Straight-ahead				
4	53	Moonglow	classified; reached, prints on Index 4.4 by period group	Songbook	Straight-ahead				
4	58	On the Sunny Side of the Street	classified; reached, prints on Index 4.4 by period group	Songbook	Straight-ahead				
4	61	Perdido	classified; reached, prints on Index 4.4 by period group	Jazz composition	Swing				
4	63	Red Top	classified; reached, prints on Index 4.4 by period group	Jazz composition	Swing				
4	67	Royal Garden Blues	classified; reached, prints on Index 4.4 by period group	Jazz composition	Early jazz / New Orleans				
4	68	Seven Come Eleven	classified; reached, prints on Index 4.4 by period group	Jazz composition	Swing				
4	74	St. Louis Blues	classified; reached, prints on Index 4.4 by period group	Jazz composition	Early jazz / New Orleans		twelve-bar blues		
4	76	Star Dust	classified; reached, prints on Index 4.4 by period group	Songbook	Straight-ahead				
4	77	Stompin' at the Savoy	classified; reached, prints on Index 4.4 by period group	Jazz composition	Swing				
4	80	Sweet Georgia Brown	classified; reached, prints on Index 4.4 by period group	Songbook	Straight-ahead				
4	82	The Joint Is Jumpin'	set-rule entry; [P] title, reached by nothing	Jazz composition	Early jazz / New Orleans				
4	93	When the Saints Go Marching In	classified; reached, prints on Index 4.4 by period group	Traditional	Early jazz / New Orleans	2nd line			
5A	1	Almost Like Being in Love	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5A	2	April in Paris	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	3	Autumn in New York	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	4	Blue Moon	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	5	Blue Skies	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	6	Centerpiece	classified; reached, prints no style page	Jazz composition	Swing		twelve-bar blues		
5A	7	Close Your Eyes	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5A	9	Darn That Dream	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	10	Do Nothin' Till You Hear from Me	classified; reached, prints no style page	Jazz composition	Swing				
5A	12	East of the Sun	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	14	Easy to Love	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	15	Emily	classified; reached, prints no style page	Songbook	Straight-ahead	jazz waltz			
5A	16	Everything Happens to Me	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	18	Falling in Love with Love	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead	jazz waltz			
5A	19	Fly Me to the Moon	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	20	Gee Baby Ain't I Good to You	classified; reached, prints no style page	Jazz composition	Swing				
5A	27	I Didn't Know What Time It Was	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	29	I Got It Bad (and That Ain't Good)	classified; reached, prints no style page	Jazz composition	Swing				
5A	32	I Should Care	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	34	I Thought About You	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	35	If I Should Lose You	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	38	It Had to Be You	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	39	It Might As Well Be Spring	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	40	It Never Entered My Mind	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	41	Just One of Those Things	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5A	42	Lover Come Back to Me	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5A	43	Lover Man	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	45	Mean to Me	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	47	Mood Indigo	classified; reached, prints no style page	Jazz composition	Swing				
5A	48	Moonlight in Vermont	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	49	My Foolish Heart	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	51	Nature Boy	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	55	Once I Loved	classified; reached, prints no style page	Latin American composition	Latin jazz - Brazilian	bossa nova			
5A	56	Pennies from Heaven	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	57	Prelude to a Kiss	classified; reached, prints no style page	Jazz composition	Swing				
5A	59	Secret Love	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	60	Skylark	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	61	Smile	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	64	Someone to Watch Over Me	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	67	Stormy Weather	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	69	Tenderly	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	70	The Lady Is a Tramp	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	72	The Nearness of You	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	74	The Way You Look Tonight	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	76	They Can't Take That Away from Me	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	78	What's New?	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	79	Willow Weep For Me	classified; reached, prints no style page	Songbook	Straight-ahead				
5A	80	You Go to My Head	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5B	2	Alfie	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5B	3	All or Nothing At All	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5B	6	At Last	classified; reached, prints no style page	Songbook	Straight-ahead				
5B	7	Besame Mucho	classified; reached, prints no style page	Latin American composition	Latin jazz - Afro-Cuban	bolero			
5B	8	Between the Devil and the Deep Blue Sea	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5B	20	Get Happy	classified; reached, prints no style page	Songbook	Straight-ahead				
5B	23	I Could Write a Book	classified; reached, prints no style page	Songbook	Straight-ahead				
5B	28	I'll Close My Eyes	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5B	29	I'm Beginning to See the Light	classified; reached, prints no style page	Jazz composition	Swing				
5B	30	I'm Old Fashioned	classified; reached, prints no style page	Songbook	Straight-ahead				
5B	34	It's All Right with Me	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5B	42	Love Me or Leave Me	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5B	43	Lover	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5B	44	Lush Life	set-rule entry; boldface, reached by nothing	Jazz composition	Swing				
5B	47	My Heart Stood Still	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5B	49	Old Devil Moon	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5B	50	Out of This World	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5B	57	That Old Black Magic	classified; reached, prints no style page	Songbook	Straight-ahead				
5B	59	The End Of A Love Affair	classified; reached, prints no style page	Songbook	Straight-ahead				
5B	62	The Surrey with the Fringe On Top	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5B	66	Watch What Happens	classified; reached, prints no style page	Imported song	Straight-ahead	bossa nova			
5B	68	What a Difference a Day Made	classified; reached, prints no style page	Latin American composition	Straight-ahead				
5B	69	When I Fall in Love	classified; reached, prints no style page	Songbook	Straight-ahead				
5B	74	Witchcraft	classified; reached, prints no style page	Songbook	Straight-ahead				
5B	75	Wives and Lovers	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead	jazz waltz			
5B	78	You've Changed	classified; reached, prints no style page	Songbook	Straight-ahead				
5C	6	Black Coffee	classified; reached, prints no style page	Songbook	Straight-ahead				
5C	9	Can’t Help Lovin’ Dat Man	classified; reached, prints no style page	Songbook	Straight-ahead				
5C	10	Cheek to Cheek	classified; reached, prints no style page	Songbook	Straight-ahead				
5C	11	Comes Love	classified; reached, prints no style page	Songbook	Straight-ahead				
5C	12	Cry Me a River	classified; reached, prints no style page	Songbook	Straight-ahead				
5C	13	Dancing in the Dark	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5C	20	Fever	classified; reached, prints no style page	Songbook	Straight-ahead			modal or vamp	
5C	23	For Heaven’s Sake	classified; reached, prints no style page	Songbook	Straight-ahead				
5C	25	From This Moment On	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5C	37	In the Still of the Night	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5C	38	It Ain't Necessarily So	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5C	42	I've Never Been in Love Before	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5C	44	Love Walked In	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5C	51	Route 66	classified; reached, prints no style page	Songbook	Straight-ahead		twelve-bar blues		
5C	52	September in the Rain	set-rule entry; boldface, reached by nothing	Songbook	Straight-ahead				
5C	56	Taking a Chance on Love	classified; reached, prints no style page	Songbook	Straight-ahead				
5C	65	What a Little Moonlight Can Do	classified; reached, prints no style page	Songbook	Straight-ahead				
5C	66	Who Can I Turn To?	classified; reached, prints no style page	Songbook	Straight-ahead				
