institution	section	status	title_as_printed	normalized	marker
Utah	audition - jazz standards: Monk	listed	WELL, YOU NEEDN'T	well you neednt	
Utah	audition - jazz standards: blues heads	listed	ALL BLUES	all blues	
Utah	audition - jazz standards: blues heads	listed	AU PRIVAVE	au privave	
Utah	audition - jazz standards: blues heads	listed	BAG'S GROOVE	bags groove	
Utah	audition - jazz standards: blues heads	listed	BILLIE'S BOUNCE	billies bounce	
Utah	audition - jazz standards: blues heads	listed	BIRK'S WORKS	birks works	
Utah	audition - jazz standards: blues heads	listed	BLUE MONK	blue monk	
Utah	audition - jazz standards: blues heads	listed	BLUES FOR ALICE	blues for alice	
Utah	audition - jazz standards: blues heads	listed	BLUES IN THE CLOSET	blues in the closet	
Utah	audition - jazz standards: blues heads	listed	C-JAM BLUES	c jam blues	
Utah	audition - jazz standards: blues heads	listed	CHERYL	cheryl	
Utah	audition - jazz standards: blues heads	listed	CHI CHI	chichi	
Utah	audition - jazz standards: blues heads	listed	COOL BLUES	cool blues	
Utah	audition - jazz standards: blues heads	listed	EQUINOX	equinox	
Utah	audition - jazz standards: blues heads	listed	FOOTPRINTS	footprints	
Utah	audition - jazz standards: blues heads	listed	FREDDIE FREELOADER	freddie the freeloader	
Utah	audition - jazz standards: blues heads	listed	FREIGHT TRANE	freight trane	
Utah	audition - jazz standards: blues heads	listed	MR. P.C.	mr p c	
Utah	audition - jazz standards: blues heads	listed	NOW'S THE TIME	nows the time	
Utah	audition - jazz standards: blues heads	listed	RELAXIN' AT CAMARILLO	relaxin at camarillo	
Utah	audition - jazz standards: blues heads	listed	ROUTE 66	route 66	
Utah	audition - jazz standards: blues heads	listed	SANDU	sandu	
Utah	audition - jazz standards: blues heads	listed	SONNYMOON FOR TWO	sonnymoon for two	
Utah	audition - jazz standards: blues heads	listed	STRAIGHT NO CHASER	straight no chaser	
Utah	audition - jazz standards: blues heads	listed	TAKE THE COLTRANE	take the coltrane	
Utah	audition - jazz standards: blues heads	listed	TENOR MADNESS	tenor madness	
Utah	audition - jazz standards: blues heads	listed	THINGS AIN'T WHAT THEY USED TO BE	things aint what they used to be	
Utah	audition - jazz standards: blues heads	listed	WATERMELON MAN	watermelon man	
Utah	audition - jazz standards: blues heads	listed	WEST COAST BLUES	west coast blues	
Utah	audition - rhythm changes heads	listed	ANTHROPOLOGY	anthropology	
Utah	audition - rhythm changes heads	listed	DEXTERITY	dexterity	
Utah	audition - rhythm changes heads	listed	ETERNAL TRIANGLE, THE	eternal triangle	
Utah	audition - rhythm changes heads	listed	I GOT RHYTHM	i got rhythm	
Utah	audition - rhythm changes heads	listed	LESTER LEAPS IN	lester leaps in	
Utah	audition - rhythm changes heads	listed	MOOSE THE MOOCHE	moose the mooche	
Utah	audition - rhythm changes heads	listed	OLEO	oleo	
Utah	audition - rhythm changes heads	listed	RHYTHM-A-NING	rhythm a ning	
Utah	audition - rhythm changes heads	listed	STEEPLECHASE	steeplechase	
Utah	audition - popular modal	listed	BEATRICE	beatrice	
Utah	audition - popular modal	listed	BLACK NARCISSUS	black narcissus	
Utah	audition - popular modal	listed	BOLIVIA	bolivia	
Utah	audition - popular modal	listed	CANTALOUPE ISLAND	cantaloupe island	
Utah	audition - popular modal	listed	CYCLIC EPISODE	cyclic episode	
Utah	audition - popular modal	listed	FEE-FI-FO-FUM	fee fi fo fum	
Utah	audition - popular modal	listed	FOOTPRINTS	footprints	
Utah	audition - popular modal	listed	FREEDOM JAZZ DANCE	freedom jazz dance	
Utah	audition - popular modal	listed	INVITATION	invitation	
Utah	audition - popular modal	listed	LITTLE SUNFLOWER	little sunflower	
Utah	audition - popular modal	listed	MAIDEN VOYAGE	maiden voyage	
Utah	audition - popular modal	listed	MILESTONES	milestones	
Utah	audition - popular modal	listed	RECORDAME	recordame	
Utah	audition - popular modal	pair row: SO WHAT/IMPRESSIONS	So What	so what	
Utah	audition - popular modal	pair row: SO WHAT/IMPRESSIONS	Impressions	impressions	
Utah	audition - popular modal	listed	TAKE FIVE	take five	
Utah	audition - popular bossa novas	listed	BLACK ORPHEUS	black orpheus	
Utah	audition - popular bossa novas	listed	CHEGA DE SAUDADE (NO MORE BLUES)	chega de saudade	
Utah	audition - popular bossa novas	listed	CORCOVADO	corcovado	
Utah	audition - popular bossa novas	listed	DESIFINADO	desafinado	
Utah	audition - popular bossa novas	listed	GIRL FROM IPANEMA, THE	girl from ipanema	
Utah	audition - popular bossa novas	listed	HOW INSENSITIVE	how insensitive	
Utah	audition - popular bossa novas	listed	MEDITATION	meditation	
Utah	audition - popular bossa novas	listed	ONCE I LOVED	once i loved	
Utah	audition - popular bossa novas	listed	ONE NOTE SAMBA	one note samba	
Utah	audition - popular bossa novas	listed	THE LITTLE BOAT	my little boat	
Utah	audition - popular bossa novas	listed	WATCH WHAT HAPPENS	watch what happens	
Utah	audition - popular bossa novas	listed	WAVE	wave	
Utah	audition - jazz compositions 1950s	listed	ALONG CAME BETTY	along came betty	
Utah	audition - jazz compositions 1950s	listed	CON ALMA	con alma	
Utah	audition - jazz compositions 1950s	listed	COUNTDOWN	countdown	
Utah	audition - jazz compositions 1950s	listed	DIG	dig	
Utah	audition - jazz compositions 1950s	listed	DOXY	doxy	
Utah	audition - jazz compositions 1950s	listed	FOUR	four	
Utah	audition - jazz compositions 1950s	listed	GIANT STEPS	giant steps	
Utah	audition - jazz compositions 1950s	listed	JORDU	jordu	
Utah	audition - jazz compositions 1950s	listed	JOY SPRING	joy spring	
Utah	audition - jazz compositions 1950s	listed	LITTLE MELONAE	little melonae	
Utah	audition - jazz compositions 1950s	listed	LOTUS BLOSSOM	lotus blossom	
Utah	audition - jazz compositions 1950s	listed	MILESTONES	milestones	
Utah	audition - jazz compositions 1950s	listed	MOMENT'S NOTICE	moments notice	
Utah	audition - jazz compositions 1950s	listed	NAIMA	naima	
Utah	audition - jazz compositions 1950s	listed	NARDIS	nardis	
Utah	audition - jazz compositions 1950s	listed	NICA'S DREAM	nicas dream	
Utah	audition - jazz compositions 1950s	listed	PEACE	peace	
Utah	audition - jazz compositions 1950s	listed	PENT-UP HOUSE	pent up house	
Utah	audition - jazz compositions 1950s	listed	SANDU	sandu	
Utah	audition - jazz compositions 1950s	listed	SOLAR	solar	
Utah	audition - jazz compositions 1950s	listed	SO WHAT	so what	
Utah	audition - jazz compositions 1950s	listed	STABLEMATES	stablemates	
Utah	audition - jazz compositions 1950s	listed	ST. THOMAS	st thomas	
Utah	audition - jazz compositions 1950s	listed	STROLLIN'	strollin	
Utah	audition - jazz compositions 1950s	listed	TUNE UP	tune up	
Utah	audition - jazz compositions 1950s	listed	THE PREACHER	preacher	
Utah	audition - jazz compositions 1950s	listed	WHISPER NOT	whisper not	
Utah	audition - jazz compositions 1950s	listed	WOODY 'N YOU	woody n you	
Utah	audition - jazz compositions 1960s	listed	BLUE BOSSA	blue bossa	
Utah	audition - jazz compositions 1960s	listed	CANTALOUPE ISLAND	cantaloupe island	
Utah	audition - jazz compositions 1960s	listed	COOKIN” at THE CONTINENTAL	cookin at the continental	
Utah	audition - jazz compositions 1960s	listed	DANCE CADAVEROUS	dance cadaverous	
Utah	audition - jazz compositions 1960s	listed	DOLPHIN DANCE	dolphin dance	
Utah	audition - jazz compositions 1960s	listed	FEE-FI-FO-FUM	fee fi fo fum	
Utah	audition - jazz compositions 1960s	listed	JEANINE	jeannine	
Utah	audition - jazz compositions 1960s	listed	IMPRESSIONS	impressions	
Utah	audition - jazz compositions 1960s	listed	JOSHUA	joshua	
Utah	audition - jazz compositions 1960s	listed	JU-JU	ju ju	
Utah	audition - jazz compositions 1960s	listed	KILLER JOE	killer joe	
Utah	audition - jazz compositions 1960s	listed	MAIDEN VOYAGE	maiden voyage	
Utah	audition - jazz compositions 1960s	listed	MERCY, MERCY, MERCY	mercy mercy mercy	
Utah	audition - jazz compositions 1960s	listed	ONE FINGER SNAP	one finger snap	
Utah	audition - jazz compositions 1960s	listed	RECORDA ME	recordame	
Utah	audition - jazz compositions 1960s	listed	SEVEN STEPS TO HEAVEN	seven steps to heaven	
Utah	audition - jazz compositions 1960s	listed	SONG FOR MY FATHER	song for my father	
Utah	audition - jazz compositions 1960s	listed	SPEAK NO EVIL	speak no evil	
Utah	audition - jazz compositions 1960s	listed	THE SIDEWINDER	the sidewinder	
Utah	audition - jazz compositions 1960s	listed	TONES FOR JOAN'S BONES	tones for joans bones	
Utah	audition - jazz compositions 1960s	listed	UP JUMPED SPRING	up jumped spring	
Utah	audition - jazz compositions 1960s	listed	WINDOWS	windows	
Utah	audition - jazz compositions 1960s	listed	WITCH HUNT	witch hunt	
Utah	audition - jazz compositions 1960s	listed	YES OR NO	yes and no	
Utah	audition - jazz compositions 1970s+	listed	BOLIVIA	bolivia	
Utah	audition - jazz compositions 1970s+	listed	BRIGHT SIZE LIFE	bright size life	
Utah	audition - jazz compositions 1970s+	listed	FIRM ROOTS	firm roots	
Utah	audition - jazz compositions 1970s+	listed	500 MILES HIGH	500 miles high	
Utah	audition - jazz compositions 1970s+	listed	PHASE DANCE	phase dance	
Utah	audition - jazz compositions 1970s+	listed	QUESTION & ANSWER	question and answer	
Utah	audition - jazz compositions 1970s+	listed	RED CLAY	red clay	
Utah	audition - jazz compositions 1970s+	listed	SAIL AWAY	sail away	
Utah	audition - jazz compositions 1970s+	listed	SKY DIVE	sky dive	
Utah	audition - jazz compositions 1970s+	listed	SPAIN	spain	
Utah	audition - jazz compositions 1970s+	listed	VOYAGE	voyage	
Utah Valley	untiered	listed	A Night in Tunisia	night in tunisia	
Utah Valley	untiered	listed	Afro blue	afro blue	
Utah Valley	untiered	listed	All Blues	all blues	
Utah Valley	untiered	listed	All The Things You Are	all the things you are	
Utah Valley	untiered	listed	Alone Together	alone together	
Utah Valley	untiered	listed	Au Privave	au privave	
Utah Valley	untiered	listed	Autumn Leaves	autumn leaves	
Utah Valley	untiered	listed	Beautiful love	beautiful love	
Utah Valley	untiered	listed	Beatrice	beatrice	
Utah Valley	untiered	listed	Billie's Bounce	billies bounce	
Utah Valley	untiered	listed	Black Orpheus	black orpheus	
Utah Valley	untiered	listed	Blue Bossa	blue bossa	
Utah Valley	untiered	listed	Blue Monk	blue monk	
Utah Valley	untiered	listed	Blue Moon	blue moon	
Utah Valley	untiered	listed	Body and Soul	body and soul	
Utah Valley	untiered	listed	Bye Bye Blackbird	bye bye blackbird	
Utah Valley	untiered	listed	Caravan	caravan	
Utah Valley	untiered	listed	Days of Wine and Roses	days of wine and roses	
Utah Valley	untiered	listed	Desafinado	desafinado	
Utah Valley	untiered	listed	Donna Lee	donna lee	
Utah Valley	untiered	listed	Doxy	doxy	
Utah Valley	untiered	listed	East of the sun	east of the sun	
Utah Valley	untiered	listed	Footprints	footprints	
Utah Valley	untiered	listed	Four	four	
Utah Valley	untiered	listed	Girl From Ipanema	girl from ipanema	
Utah Valley	untiered	listed	Good Bait	good bait	
Utah Valley	untiered	listed	Groovin' High	groovin high	
Utah Valley	untiered	listed	Have You Met Miss Jones	have you met miss jones	
Utah Valley	untiered	listed	Honeysuckle Rose	honeysuckle rose	
Utah Valley	untiered	listed	How High The Moon	how high the moon	
Utah Valley	untiered	listed	I Love You	i love you	
Utah Valley	untiered	listed	Impressions	impressions	
Utah Valley	untiered	listed	Indiana	indiana	
Utah Valley	untiered	listed	Invitation	invitation	
Utah Valley	untiered	listed	It Could Happen to You	it could happen to you	
Utah Valley	untiered	listed	It's You or No One	its you or no one	
Utah Valley	untiered	listed	Joy Spring	joy spring	
Utah Valley	untiered	listed	Just Friends	just friends	
Utah Valley	untiered	listed	Killer Joe	killer joe	
Utah Valley	untiered	listed	Lady Bird	ladybird	
Utah Valley	untiered	listed	Little Sunflower	little sunflower	
Utah Valley	untiered	listed	Lover Man	lover man	
Utah Valley	untiered	listed	Maiden Voyage	maiden voyage	
Utah Valley	untiered	listed	Mercy Mercy Mercy	mercy mercy mercy	
Utah Valley	untiered	listed	Minority	minority	
Utah Valley	untiered	listed	Misty	misty	
Utah Valley	untiered	listed	Mr. PC	mr pc	
Utah Valley	untiered	listed	My romance	my romance	
Utah Valley	untiered	listed	My funny valentine	my funny valentine	
Utah Valley	untiered	listed	Nardis	nardis	
Utah Valley	untiered	listed	Nica's dream	nicas dream	
Utah Valley	untiered	listed	Night and Day	night and day	
Utah Valley	untiered	listed	Now's the Time	nows the time	
Utah Valley	untiered	listed	Oleo	oleo	
Utah Valley	untiered	listed	On Green Dolphin Street	on green dolphin street	
Utah Valley	untiered	listed	Ornithology	ornithology	
Utah Valley	untiered	listed	Out of Nowhere	out of nowhere	
Utah Valley	untiered	listed	Recordame	recordame	
Utah Valley	untiered	listed	Sandu	sandu	
Utah Valley	untiered	listed	Satin Doll	satin doll	
Utah Valley	untiered	listed	Softly as in a Morning Sunrise	softly as in a morning sunrise	
Utah Valley	untiered	listed	Solar	solar	
Utah Valley	untiered	listed	Someday My Prince Will Come	someday my prince will come	
Utah Valley	untiered	listed	Song For My Father	song for my father	
Utah Valley	untiered	listed	Sonnymoon for Two	sonnymoon for two	
Utah Valley	untiered	listed	St. Thomas	st thomas	
Utah Valley	untiered	listed	Stella By Starlight	stella by starlight	
Utah Valley	untiered	listed	Straight, No Chaser	straight no chaser	
Utah Valley	untiered	listed	Summertime	summertime	
Utah Valley	untiered	listed	Sugar	sugar	
Utah Valley	untiered	listed	Take the A Train	take the a train	
Utah Valley	untiered	listed	Tenor Madness	tenor madness	
Utah Valley	untiered	listed	There Is No Greater Love	there is no greater love	
Utah Valley	untiered	listed	There Will Never Be Another You	there will never be another you	
Utah Valley	untiered	listed	Tune Up	tune up	
Utah Valley	untiered	listed	Watermelon Man	watermelon man	
Utah Valley	untiered	listed	Wave	wave	
Utah Valley	untiered	listed	What Is This Thing Called Love	what is this thing called love	
Utah Valley	untiered	listed	Whisper Not	whisper not	
Utah Valley	untiered	listed	Work Song	work song	
Utah Valley	untiered	listed	You Don't Know What Love Is	you dont know what love is	
Utah Valley	untiered	listed	You Stepped Out of a Dream	you stepped out of a dream	
Texas State	UG Freshman fall	listed	Summertime	summertime	
Texas State	UG Freshman fall	listed	Take the 'A' Train	take the a train	
Texas State	UG Freshman fall	listed	There Will Never Be Another You	there will never be another you	
Texas State	UG Freshman fall	listed	Someday My Prince Will Come	someday my prince will come	
Texas State	UG Freshman fall	listed	Impressions	impressions	
Texas State	UG Freshman fall	listed	So What	so what	
Texas State	UG Freshman fall	listed	Blue Bossa	blue bossa	
Texas State	UG Freshman fall	listed	Sonnymoon for Two	sonnymoon for two	
Texas State	UG Freshman spring	listed	Softly, as in a Morning Sunrise	softly as in a morning sunrise	
Texas State	UG Freshman spring	listed	There Is No Grater Love	there is no greater love	
Texas State	UG Freshman spring	listed	Recorda-Me	recordame	
Texas State	UG Freshman spring	listed	What Is This Thing Called Love?	what is this thing called love	
Texas State	UG Freshman spring	listed	Satin Doll	satin doll	
Texas State	UG Freshman spring	listed	Autumn Leaves (em and gm)	autumn leaves em and gm	
Texas State	UG Freshman spring	listed	Now's the Time	nows the time	
Texas State	UG Freshman spring	listed	Billie's Bounce	billies bounce	
Texas State	UG Sophomore fall	listed	Have You Met Miss Jones?	have you met miss jones	
Texas State	UG Sophomore fall	listed	Days of Wine and Roses	days of wine and roses	
Texas State	UG Sophomore fall	listed	Night and Day	night and day	
Texas State	UG Sophomore fall	listed	Black Orpheus	black orpheus	
Texas State	UG Sophomore fall	listed	In a Sentimental Mood	in a sentimental mood	
Texas State	UG Sophomore fall	listed	Straight, No Chaser	straight no chaser	
Texas State	UG Sophomore fall	listed	Just Friends (F and G)	just friends f and g	
Texas State	UG Sophomore spring	listed	Oleo	oleo	
Texas State	UG Sophomore spring	listed	The Girl from Ipanema	girl from ipanema	
Texas State	UG Sophomore spring	listed	Misty	misty	
Texas State	UG Sophomore spring	listed	Yesterdays	yesterdays	
Texas State	UG Sophomore spring	listed	I'll Remember April	ill remember april	
Texas State	UG Sophomore spring	listed	On Green Dolphin Street (C and Eb)	on green dolphin street c and eb	
Texas State	UG Sophomore spring	listed	Mr. P.C.	mr p c	
Texas State	UG Junior fall	listed	I Love You	i love you	
Texas State	UG Junior fall	listed	Corcovado	corcovado	
Texas State	UG Junior fall	listed	Alone Together	alone together	
Texas State	UG Junior fall	listed	Joy Spring	joy spring	
Texas State	UG Junior fall	listed	All the Things You Are	all the things you are	
Texas State	UG Junior fall	listed	'Round Midnight (Monk changes)	round midnight monk changes	
Texas State	UG Junior fall	listed	Cantaloupe Island	cantaloupe island	
Texas State	UG Junior fall	listed	Tenor Madness	tenor madness	
Texas State	UG Senior fall	listed	Cherokee	cherokee	
Texas State	UG Senior fall	listed	Confirmation	confirmation	
Texas State	UG Senior fall	listed	Wave	wave	
Texas State	UG Senior fall	listed	Stella by Starlight	stella by starlight	
Texas State	UG Senior fall	listed	Giant Steps	giant steps	
Texas State	UG Senior fall	listed	Body and Soul	body and soul	
Texas State	UG Senior fall	listed	Mercy, Mercy, Mercy	mercy mercy mercy	
Texas State	UG Senior fall	listed	All Blues	all blues	
Central Florida	UG Freshman fall	listed	Four	four	
Central Florida	UG Freshman fall	listed	Scrapple from the Apple	scrapple from the apple	
Central Florida	UG Freshman fall	listed	Groovin' High	groovin high	
Central Florida	UG Freshman fall	listed	Anthropology	anthropology	
Central Florida	UG Freshman spring	listed	Sippin' at Bells	sippin at bells	
Central Florida	UG Freshman spring	listed	Oleo	oleo	
Central Florida	UG Freshman spring	listed	Yardbird Suite	yardbird suite	
Central Florida	UG Freshman spring	listed	Half Nelson	half nelson	
Central Florida	UG Sophomore fall	listed	Gingerbread Boy	gingerbread boy	
Central Florida	UG Sophomore fall	listed	Ornithology	ornithology	
Central Florida	UG Sophomore fall	listed	Confirmation	confirmation	
Central Florida	UG Sophomore fall	listed	Ceora	ceora	
Central Florida	UG Sophomore spring	listed	Prince Albert	prince albert	
Central Florida	UG Sophomore spring	listed	Dig	dig	
Central Florida	UG Sophomore spring	listed	Woody n' You	woody n you	
Central Florida	UG Sophomore spring	listed	Be Bop	bebop	
Central Florida	UG Sophomore spring	listed	Joy Spring	joy spring	
Central Florida	UG Junior fall	listed	Cookin at the Continental	cookin at the continental	
Central Florida	UG Junior fall	listed	Little Willie Leaps	little willie leaps	
Central Florida	UG Junior fall	listed	Donna Lee	donna lee	
Central Florida	UG Junior fall	listed	Daahoud	daahoud	
Central Florida	UG Junior fall	listed	Impressions	impressions	
Central Florida	UG Junior spring	listed	Airegin	airegin	
Central Florida	UG Junior spring	listed	Au Privave	au privave	
Central Florida	UG Junior spring	listed	Hot House	hot house	
Central Florida	UG Junior spring	listed	Freedom Jazz Dance	freedom jazz dance	
Central Florida	UG Junior spring	listed	Budo	budo	
Central Florida	UG Senior fall	listed	Moments Notice	moments notice	
Central Florida	UG Senior fall	listed	Softly as in a Morning Sunrise	softly as in a morning sunrise	
Central Florida	UG Senior fall	listed	Vierd Blues	vierd blues	
Central Florida	UG Senior fall	listed	Tricotism	tricotism	
Central Florida	UG Senior fall	listed	Room 608	room 608	
Central Florida	UG Senior spring	listed	Parisian Thoroughfare	parisian thoroughfare	
Central Florida	UG Senior spring	listed	Giant Steps	giant steps	
Central Florida	UG Senior spring	listed	Bean and the Boys	bean and the boys	
Central Florida	UG Senior spring	listed	Milestones (old)	milestones old	
Central Florida	UG Senior spring	listed	Jordu	jordu	
William Paterson	Popular Standards	listed	A Foggy Day	foggy day	
William Paterson	Popular Standards	listed	All of Me	all of me	
William Paterson	Popular Standards	listed	All the Things You Are	all the things you are	
William Paterson	Popular Standards	listed	Alone Together	alone together	
William Paterson	Popular Standards	listed	April in Paris	april in paris	
William Paterson	Popular Standards	listed	Autumn Leaves	autumn leaves	freshman
William Paterson	Popular Standards	listed	Bluesette	bluesette	
William Paterson	Popular Standards	listed	But Not for Me	but not for me	
William Paterson	Popular Standards	listed	Bye Bye Blackbird	bye bye blackbird	
William Paterson	Popular Standards	listed	Come Rain or Come Shine	come rain or come shine	
William Paterson	Popular Standards	listed	Days of Wine and Roses	days of wine and roses	freshman
William Paterson	Popular Standards	listed	Dearly Beloved	dearly beloved	
William Paterson	Popular Standards	listed	Django	django	
William Paterson	Popular Standards	listed	Falling in Love With Love	falling in love with love	
William Paterson	Popular Standards	listed	Gone With the Wind	gone with the wind	
William Paterson	Popular Standards	listed	Green Dolphin Street	on green dolphin street	freshman
William Paterson	Popular Standards	listed	Have You Met Miss Jones?	have you met miss jones	freshman
William Paterson	Popular Standards	listed	Hello Young Lovers	hello young lovers	
William Paterson	Popular Standards	listed	How High the Moon	how high the moon	freshman
William Paterson	Popular Standards	listed	I Could Write A Book	i could write a book	
William Paterson	Popular Standards	listed	I Didn’t Know What Time It Was	i didnt know what time it was	
William Paterson	Popular Standards	listed	I Hear A Rhapsody	i hear a rhapsody	
William Paterson	Popular Standards	listed	I’ll Be Around	ill be around	
William Paterson	Popular Standards	listed	I Love You	i love you	freshman
William Paterson	Popular Standards	listed	I Remember April	ill remember april	freshman
William Paterson	Popular Standards	listed	I Remember You	i remember you	
William Paterson	Popular Standards	listed	I Should Care	i should care	
William Paterson	Popular Standards	listed	If I Were A Bell	if i were a bell	
William Paterson	Popular Standards	listed	Isn’t It Romantic	isnt it romantic	
William Paterson	Popular Standards	listed	It Could Happen to You	it could happen to you	freshman
William Paterson	Popular Standards	listed	It Had to be You	it had to be you	
William Paterson	Popular Standards	listed	It’s You Or No One	its you or no one	
William Paterson	Popular Standards	listed	Just Friends	just friends	freshman
William Paterson	Popular Standards	listed	University Jazz Studies	university jazz studies	
William Paterson	Popular Standards	listed	Lady Be Good	lady be good	
William Paterson	Popular Standards	listed	Let’s Fall in Love	lets fall in love	
William Paterson	Popular Standards	listed	Like Someone In Love	like someone in love	freshman
William Paterson	Popular Standards	listed	Love Walked In	love walked in	
William Paterson	Popular Standards	listed	(The) More I See You	the more i see you	
William Paterson	Popular Standards	listed	My Favorite Things	my favorite things	
William Paterson	Popular Standards	listed	My Romance	my romance	
William Paterson	Popular Standards	listed	Never Will I Marry	never will i marry	
William Paterson	Popular Standards	listed	Night and Day	night and day	
William Paterson	Popular Standards	listed	Our Love Is Here To Stay	our love is here to stay	
William Paterson	Popular Standards	listed	Out of Nowhere	out of nowhere	
William Paterson	Popular Standards	listed	Satin Doll	satin doll	freshman
William Paterson	Popular Standards	listed	Secret Love	secret love	freshman
William Paterson	Popular Standards	listed	Softly As in a Morning Sunrise	softly as in a morning sunrise	freshman
William Paterson	Popular Standards	listed	Someday My Prince Will Come	someday my prince will come	
William Paterson	Popular Standards	listed	Song Is You, The	song is you	
William Paterson	Popular Standards	listed	Star Eyes	star eyes	
William Paterson	Popular Standards	listed	Stella by Starlight	stella by starlight	freshman
William Paterson	Popular Standards	listed	Stompin’ at the Savoy	stompin at the savoy	
William Paterson	Popular Standards	listed	Summertime	summertime	freshman
William Paterson	Popular Standards	listed	Sweet Georgia Brown	sweet georgia brown	
William Paterson	Popular Standards	listed	Tangerine	tangerine	
William Paterson	Popular Standards	listed	There is No Greater Love	there is no greater love	freshman
William Paterson	Popular Standards	listed	There Will Never Be Another You	there will never be another you	freshman
William Paterson	Popular Standards	listed	They Can’t Take That Away…	they cant take that away	
William Paterson	Popular Standards	listed	What is This Thing Called Love	what is this thing called love	freshman
William Paterson	Popular Standards	listed	Without A Song	without a song	
William Paterson	Popular Standards	listed	You’d Be So Nice To Come HomeTo	youd be so nice to come hometo	
William Paterson	Popular Standards	listed	You Stepped Out of a Dream	you stepped out of a dream	
William Paterson	Jazz Standards	listed	26-2	26 2	
William Paterson	Jazz Standards	listed	Afro Blue	afro blue	
William Paterson	Jazz Standards	listed	Afternoon In Paris	afternoon in paris	
William Paterson	Jazz Standards	listed	Program	program	
William Paterson	Jazz Standards	listed	Airegin	airegin	
William Paterson	Jazz Standards	listed	All Blues	all blues	
William Paterson	Jazz Standards	listed	Along Came Betty	along came betty	
William Paterson	Jazz Standards	listed	Are You Real?	are you real	
William Paterson	Jazz Standards	listed	Bluesette	bluesette	
William Paterson	Jazz Standards	listed	Cherokee	cherokee	freshman
William Paterson	Jazz Standards	listed	Confirmation	confirmation	
William Paterson	Jazz Standards	listed	Countdown	countdown	
William Paterson	Jazz Standards	listed	Crescent	crescent	
William Paterson	Jazz Standards	listed	Daahoud	daahoud	
William Paterson	Jazz Standards	listed	Daydream	daydream	
William Paterson	Jazz Standards	listed	Dig	dig	
William Paterson	Jazz Standards	listed	Dolphin Dance	dolphin dance	freshman
William Paterson	Jazz Standards	listed	Donna Lee	donna lee	
William Paterson	Jazz Standards	listed	Doxy	doxy	
William Paterson	Jazz Standards	listed	ESP	esp	
William Paterson	Jazz Standards	listed	Evidence	evidence	
William Paterson	Jazz Standards	listed	Fall	fall	
William Paterson	Jazz Standards	listed	Fee Fi Fo Fum	fee fi fo fum	
William Paterson	Jazz Standards	listed	Four	four	freshman
William Paterson	Jazz Standards	listed	Freedom Jazz Dance	freedom jazz dance	
William Paterson	Jazz Standards	listed	Giant Steps	giant steps	
William Paterson	Jazz Standards	listed	Gloria’s Step	glorias step	
William Paterson	Jazz Standards	listed	Groovin’ High	groovin high	
William Paterson	Jazz Standards	listed	Half Nelson	half nelson	
William Paterson	Jazz Standards	listed	Hi-Fly	hi fly	
William Paterson	Jazz Standards	listed	How My Heart Sings	how my heart sings	
William Paterson	Jazz Standards	listed	I Let A Song Go Out of	i let a song go out of my heart	
William Paterson	Jazz Standards	listed	Impressions	impressions	freshman
William Paterson	Jazz Standards	listed	In A Mellotone	in a mellotone	freshman
William Paterson	Jazz Standards	listed	In Your Own Sweet Way	in your own sweet way	freshman
William Paterson	Jazz Standards	listed	Inchworm	inchworm	
William Paterson	Jazz Standards	listed	Inner Urge	inner urge	
William Paterson	Jazz Standards	listed	Intrepid Fox	intrepid fox	
William Paterson	Jazz Standards	listed	Iris	iris	
William Paterson	Jazz Standards	listed	Israel	israel	
William Paterson	Jazz Standards	listed	It Don’t Mean A Thing	it dont mean a thing	
William Paterson	Jazz Standards	listed	Jitterbug Waltz	jitterbug waltz	
William Paterson	Jazz Standards	listed	Jordu	jordu	
William Paterson	Jazz Standards	listed	Joy Spring	joy spring	
William Paterson	Jazz Standards	listed	Killer Joe	killer joe	
William Paterson	Jazz Standards	listed	Lady Bird	ladybird	
William Paterson	Jazz Standards	listed	Lazy Bird	lazy bird	
William Paterson	Jazz Standards	listed	Litha	litha	
William Paterson	Jazz Standards	listed	Little B’s Poem	little bs poem	
William Paterson	Jazz Standards	listed	Maiden Voyage	maiden voyage	
William Paterson	Jazz Standards	listed	Mercy, Mercy	mercy mercy mercy	
William Paterson	Jazz Standards	listed	Milestones (New)	milestones new	freshman
William Paterson	Jazz Standards	listed	Milestones (Old)	milestones old	
William Paterson	Jazz Standards	listed	Minority	minority	
William Paterson	Jazz Standards	listed	Moment’s Notice	moments notice	
William Paterson	Jazz Standards	listed	Move	move	
William Paterson	Jazz Standards	listed	Nardis	nardis	
William Paterson	Jazz Standards	listed	Nefertiti	nefertiti	
William Paterson	Jazz Standards	listed	Night Dreamer	night dreamer	
William Paterson	Jazz Standards	listed	Night In Tunisia, A	night in tunisia	freshman
William Paterson	Jazz Standards	listed	Nutville	nutville	freshman
William Paterson	Jazz Standards	listed	On the Trail	on the trail	
William Paterson	Jazz Standards	listed	One-Finger Snap	one finger snap	
William Paterson	Jazz Standards	listed	Ornithology	ornithology	
William Paterson	Jazz Standards	listed	Passion Dance	passion dance	
William Paterson	Jazz Standards	listed	Pent Up House	pent up house	
William Paterson	Jazz Standards	listed	Pinocchio	pinocchio	
William Paterson	Jazz Standards	listed	Preacher	preacher	
William Paterson	Jazz Standards	listed	Quicksilver	quicksilver	
William Paterson	Jazz Standards	listed	Red Clay	red clay	
