contributors	title_as_printed
29	All the Things You Are
28	Autumn Leaves
27	Body & Soul
26	On Green Dolphin Street
26	Stella by Starlight
26	Take the 'A' Train
26	There Will Never be Another You
23	Alone Together
23	What is This Thing Called Love?
22	Have You Met Miss Jones?
22	In a Sentimental Mood
21	Blue Bossa
21	Cherokee
21	Just Friends
21	Oleo
20	I Love You
20	Joy Spring
19	Some Day My Prince Will Come
18	Recorda me
18	Softly as in a Morning Sunrise
18	There Is No Greater Love
17	Billie's Bounce
17	Days of Wine and Roses
17	Giant Steps
17	Girl from Ipanema
17	'Round Midnight
17	Satin Doll
17	Wave
17	Yesterdays
16	Confirmation
16	Impressions
16	I'll Remember April
16	Misty
16	Night and Day
16	Summertime
15	Black Orpheus
15	Corcovado
15	Footprints
15	In a Mellow Tone
15	Invitation
15	Lady Bird
15	Like Someone in Love
15	My Funny Valentine
14	Bye Bye Blackbird
14	Donna Lee
14	How High the Moon
14	Night in Tunisia
14	So What
14	Solar
14	You Don't Know What Love Is
13	Doxy
13	Here's that Rainy Day
13	In Your Own Sweet Way
13	It Could Happen to You
13	Maiden Voyage
13	Moment's Notice
13	Straight No Chaser
12	All Blues
12	Desafinado
12	Dolphin Dance
12	Four
12	I Can't Get Started
12	My Romance
12	Speak Low
12	St. Thomas
12	Star Eyes
12	Yardbird Suite
11	All of Me
11	Anthropology
11	Blue Monk
11	Ceora
11	I Hear a Rhapsody
11	Lover Man
11	Sweet Georgia Brown
11	Tune Up
11	Well You Needn't
11	What's New?
10	Blues for Alice
10	But Not for Me
10	Caravan
10	Mr. P.C.
10	My Foolish Heart
10	Nica's Dream
10	Now's the Time
10	Ornithology
10	Out of Nowhere
10	Perdido
10	Shadow of Your Smile
10	Song for My Father
10	Stablemates
10	Triste
10	You Stepped Out of a Dream
